episode,reward,win,loss,steps,right_score,left_score,score_diff,frames,rally_hits,decision_count,truncated,truncation_reason,last_right_hit_offset,last_right_speed_multiplier,last_right_outgoing_speed,final_ball_speed,last_left_outgoing_speed,successful_agent_returns,last_selected_target_y,last_predicted_return_y,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward
0,1.5368130119088919,1,0,8,1,0,1,1657,8,8,False,,0.7791483779156266,2.0,12.97998459167036,12.97998459167036,8.307190138669032,7,249.60000000000002,268.07632860680997,18.476328606809943,0.049410834231831596,0.39681301190889195
1,1.74686019118574,1,0,11,1,0,1,2367,11,11,False,,-0.5738581552090138,1.5,12.97998459167036,12.97998459167036,10.383987673336287,10,148.8,148.7171131064233,0.0828868935766991,0.04999998807250641,0.5468601911857403
2,1.7456565973992935,1,0,11,1,0,1,2284,11,11,False,,-0.5801158753638844,1.5,12.979984591670359,12.979984591670359,8.653323061113573,10,249.60000000000002,231.30772751844097,18.292272481559053,0.04942244626071047,0.5456565973992935
3,1.5355283877260009,1,0,8,1,0,1,1582,8,8,False,,0.6965639281386643,2.0,12.97998459167036,12.979984591670362,9.968628166402837,7,98.4,77.04119824682402,21.35880175317598,0.04921422869363093,0.39552838772600096
4,2.582559315643957,1,0,23,1,0,1,4852,23,23,False,,0.5591302069603387,1.5,12.979984591670359,12.97998459167036,8.653323061113573,22,501.6,509.853362545193,8.253362545193,0.04988187933999805,1.1425593156439569
5,1.467617349745203,1,0,7,1,0,1,1428,7,7,False,,-0.6488642610771592,2.0,12.97998459167036,12.97998459167036,9.968628166402835,6,148.8,159.6623139283738,10.862313928373794,0.04979557552253196,0.34761734974520303
6,1.2576850487049045,1,0,4,1,0,1,917,4,4,False,,0.7463221465536009,2.0,12.97998459167036,12.97998459167036,7.211102550927978,3,148.8,135.61112469585214,13.18887530414787,0.04969891981535096,0.19768504870490441
7,1.1191249503781002,1,0,2,1,0,1,381,2,2,False,,-0.5892790883267551,1.5,12.450575079649886,12.450575079649886,8.300383386433257,1,48.0,53.14596965358169,5.1459696535816875,0.0499540471648632,0.09912495037810032
8,1.0482567653937331,1,0,1,1,0,1,201,1,1,False,,0.85,2.0,12.36931687685298,12.36931687685298,7.211102550927978,0,552.0,583.9691225290553,31.969122529055312,0.048256765393733136,0.048256765393733136
9,1.3279516026688816,1,0,5,1,0,1,1023,5,5,False,,0.6067531461353468,2.0,12.97998459167036,12.97998459167036,10.38398767333629,4,501.6,498.4908002665866,3.1091997334134476,0.049983219616820784,0.24795160266888142
10,1.3282206850623601,1,0,5,1,0,1,1005,5,5,False,,0.6127533278387887,2.0,12.97998459167036,12.97998459167036,8.875372469681372,4,552.0,567.2181391261115,15.21813912611151,0.049599543245381156,0.2482206850623602
11,1.8159728965795108,1,0,12,1,0,1,2488,12,12,False,,0.5242658908035281,1.5,12.97998459167036,12.97998459167036,10.38398767333629,11,451.20000000000005,463.56720461299847,12.367204612998421,0.04973516954998614,0.5959728965795107
12,1.1165640420781184,1,0,2,1,0,1,455,2,2,False,,-0.85,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,48.0,17.969122529054857,30.030877470945143,0.04845854277497466,0.09656404207811853
13,1.2581560791121174,1,0,4,1,0,1,941,4,4,False,,0.587601324288417,1.5,12.979984591670359,12.979984591670359,8.653323061113573,3,552.0,541.8904866843186,10.109513315681397,0.049822879979595905,0.1981560791121173
14,1.256821319246537,1,0,4,1,0,1,848,4,4,False,,-0.547932771529356,1.5,12.97998459167036,12.97998459167036,10.383987673336287,3,48.0,20.88650226908362,27.11349773091638,0.04873986361120261,0.196821319246537
15,1.1183054793327356,1,0,2,1,0,1,390,2,2,False,,-0.6394510283151632,2.0,12.97998459167036,12.97998459167036,7.895728448563659,1,98.4,78.8890483092307,19.510951690769303,0.04934345070111626,0.09830547933273548
16,1.118337834487985,1,0,2,1,0,1,394,2,2,False,,-0.6663976420982329,2.0,12.97998459167036,12.97998459167036,7.833796772974644,1,199.2,217.53400524972767,18.33400524972768,0.04941982330955991,0.09833783448798511
17,1.2577532550371389,1,0,4,1,0,1,879,4,4,False,,-0.6907125266129782,2.0,12.97998459167036,12.97998459167036,10.383987673336286,3,98.4,99.17548363160586,0.7754836316058515,0.049998955957319,0.19775325503713886
18,1.187518108315612,1,0,3,1,0,1,680,3,3,False,,0.8394583299107723,2.0,12.97998459167036,12.979984591670359,8.653323061113573,2,552.0,538.5076079492683,13.492392050731723,0.04968494704513442,0.14751810831561207
19,1.4668623222963886,1,0,7,1,0,1,1421,7,7,False,,0.6927582966651471,2.0,12.97998459167036,12.979984591670362,9.968628166402839,6,98.4,90.4533260106773,7.946673989322704,0.049890485340071164,0.3468623222963886
20,1.7467471902431595,1,0,11,1,0,1,2312,11,11,False,,0.5504163354949541,1.5,12.97998459167036,12.979984591670362,10.38398767333629,10,451.20000000000005,434.86792089900837,16.332079100991677,0.049539053133838905,0.5467471902431598
21,1.3971628928542843,1,0,6,1,0,1,1228,6,6,False,,0.5591072689894361,1.5,12.460785208003548,12.460785208003548,8.307190138669032,5,400.79999999999995,408.98826178058744,8.188261780587482,0.049883733252359785,0.2971628928542843
22,1.1879803471014614,1,0,3,1,0,1,688,3,3,False,,0.7577520349073581,2.0,12.97998459167036,12.979984591670362,8.653323061113573,2,199.2,180.69106818887667,18.50893181112332,0.04940876547438976,0.1479803471014613
23,2.5119445522104176,1,0,22,1,0,1,4425,22,22,False,,-0.692253917240339,2.0,12.97998459167036,12.97998459167036,10.383987673336287,21,48.0,54.1761370225704,6.176137022570401,0.04993382045315917,1.0919445522104176
24,1.745335090097804,1,0,11,1,0,1,2410,11,11,False,,0.5970246346655983,1.5,12.460785208003548,12.46078520800355,8.307190138669032,10,552.0,569.9283356519654,17.928335651965426,0.0494450725267497,0.5453350900978041
25,1.814100697168001,1,0,12,1,0,1,2510,12,12,False,,-0.644809078041152,2.0,12.97998459167036,12.979984591670359,10.38398767333629,11,148.8,146.5195996493012,2.2804003506988124,0.049990972645308135,0.594100697168001
26,1.6053878360324385,1,0,9,1,0,1,1687,9,9,False,,0.6426813068621499,2.0,12.97998459167036,12.979984591670359,9.968628166402837,8,400.79999999999995,409.9411540402575,9.141154040257561,0.04985513959671781,0.4453878360324387
27,1.2578389333707725,1,0,4,1,0,1,855,4,4,False,,0.6912635229773656,2.0,12.97998459167036,12.97998459167036,10.383987673336287,3,451.20000000000005,448.49571075452263,2.704289245477412,0.049987305118256393,0.19783893337077246
28,1.534540740217475,1,0,8,1,0,1,1727,8,8,False,,-0.6965530187094414,2.0,12.97998459167036,12.979984591670359,10.383987673336291,7,501.6,522.9202189980606,21.320218998060568,0.04921704265605406,0.3945407402174751
29,3.8366360634736285,1,0,41,1,0,1,8524,41,41,False,,0.5575596516645135,1.5,12.460785208003548,12.460785208003548,8.307190138669032,40,552.0,555.8006481956468,3.8006481956467724,0.049974928290253066,2.0366360634736296
30,1.397682252077899,1,0,6,1,0,1,1277,6,6,False,,0.5399837921323438,1.5,12.97998459167036,12.97998459167036,10.383987673336287,5,451.20000000000005,456.20857981108065,5.008579811080608,0.049956467101507786,0.2976822520778992
31,1.1188696475086146,1,0,2,1,0,1,393,2,2,False,,0.6382488467791688,2.0,12.97998459167036,12.979984591670359,7.787471669786896,1,552.0,546.2438239371502,5.756176062849818,0.04994250953025503,0.09886964750861468
32,2.3035846070574344,1,0,19,1,0,1,4004,19,19,False,,0.5941537286051854,1.5,12.97998459167036,12.97998459167036,9.968628166402837,18,552.0,560.2550757568661,8.255075756866063,0.04988183035454576,0.9435846070574341
33,1.4656457314980518,1,0,7,1,0,1,1468,7,7,False,,-0.7878400799414862,2.0,12.97998459167036,12.97998459167036,9.96862816640284,6,350.4,372.7581524179989,22.358152417998895,0.04913962907033627,0.3456457314980516
34,2.512228146478037,1,0,22,1,0,1,4398,22,22,False,,0.6826741671044673,2.0,12.97998459167036,12.97998459167036,10.38398767333629,21,350.4,327.14477057326485,23.255229426735127,0.04906986161207528,1.092228146478037
35,1.1884327686534095,1,0,3,1,0,1,660,3,3,False,,-0.604086443193475,2.0,12.97998459167036,12.97998459167036,8.653323061113573,2,199.2,210.40077359861414,11.200773598614148,0.049782665851337456,0.14843276865340946
36,1.2585810959529673,1,0,4,1,0,1,876,4,4,False,,0.6038958372881481,2.0,12.97998459167036,12.97998459167036,7.211102550927978,3,451.20000000000005,439.4221243341258,11.777875665874262,0.0497597485853311,0.1985810959529673
37,1.2557491609903562,1,0,4,1,0,1,826,4,4,False,,0.85,2.0,12.97998459167036,12.97998459167036,7.740193555589467,3,552.0,582.0308774709451,30.030877470945143,0.04845854277497466,0.19574916099035608
38,1.2574577294191827,1,0,4,1,0,1,794,4,4,False,,-0.5984826680807842,1.5,11.796743120116577,11.796743120116577,7.864495413411051,3,48.0,25.698369251062104,22.301630748937896,0.04914393622043569,0.19745772941918252
