episode,reward,win,loss,steps,right_score,left_score,score_diff,frames,rally_hits,decision_count,truncated,truncation_reason,last_right_hit_offset,last_right_speed_multiplier,last_right_outgoing_speed,final_ball_speed,last_left_outgoing_speed,successful_agent_returns,last_selected_target_y,last_predicted_return_y,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward
0,-0.9935592748485197,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,98.4,341.344845325218,242.94484532521798,0.006440725151480322,0.006440725151480322
1,-0.8863461015051293,0,1,2,0,1,-1,567,2,2,False,,0.43767553793701097,1.5,10.816653826391967,8.653323061113575,8.653323061113575,1,350.4,290.8091172310469,59.590882768953065,0.04419987004227416,0.09365389849487082
2,-0.9954899208326713,0,1,1,0,1,-1,368,1,1,False,,0.8840082370854958,2.0,12.36931687685298,9.895453501482388,9.895453501482386,0,148.8,412.01929828962466,263.21929828962465,0.004510079167328751,0.004510079167328751
3,-0.9986071781888629,0,1,1,0,1,-1,362,1,1,False,,-0.1026720504396053,1.0,6.291573387901151,7.211102550927978,7.211102550927978,0,400.79999999999995,79.67088640024264,321.1291135997573,0.001392821811137109,0.001392821811137109
4,-0.9816919748109298,0,1,1,0,1,-1,365,1,1,False,,-0.1125,1.0,6.18465843842649,7.211102550927978,7.211102550927978,0,199.2,29.097428016291843,170.10257198370815,0.018308025189070102,0.018308025189070102
5,-0.9980383157736127,0,1,1,0,1,-1,303,1,1,False,,0.2136523721438209,1.5,9.776801528430854,7.821441222744683,7.821441222744683,0,552.0,246.61381082726348,305.3861891727365,0.0019616842263873633,0.0019616842263873633
6,1.0839375916469638,1,0,2,1,0,1,480,2,2,False,,0.848476514439325,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,148.8,330.4463262801337,181.64632628013368,0.015900488247663196,0.0639375916469637
7,-0.9597095714038562,0,1,1,0,1,-1,291,1,1,False,,0.23604031567184194,1.5,10.37547923304157,8.300383386433257,8.300383386433257,0,148.8,227.65544478887432,78.85544478887431,0.04029042859614383,0.04029042859614383
8,1.0482567653937331,1,0,1,1,0,1,201,1,1,False,,0.85,2.0,12.36931687685298,12.36931687685298,7.211102550927978,0,552.0,583.9691225290553,31.969122529055312,0.048256765393733136,0.048256765393733136
9,-0.9681400877778595,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,501.6,387.6727234830098,113.92727651699022,0.0318599122221405,0.0318599122221405
10,-0.961744516068451,0,1,1,0,1,-1,305,1,1,False,,-0.20711712382673114,1.5,9.630395474914684,7.704316379931747,7.704316379931747,0,48.0,135.81115668623988,87.81115668623988,0.038255483931548984,0.038255483931548984
11,-0.9997590209695603,0,1,1,0,1,-1,365,1,1,False,,-0.1125,1.0,6.18465843842649,7.211102550927978,7.211102550927978,0,451.20000000000005,59.21789719240428,391.98210280759577,0.0002409790304397705,0.0002409790304397705
12,-0.9990022205503357,0,1,1,0,1,-1,342,1,1,False,,-0.0507068372560461,1.0,7.1954576969304505,7.211102550927979,7.211102550927978,0,350.4,14.6466894944502,335.7533105055498,0.0009977794496643286,0.0009977794496643286
13,-0.9211685253589604,0,1,2,0,1,-1,631,2,2,False,,-0.1987763460385615,1.0,7.211102550927977,7.211102550927978,7.211102550927978,1,552.0,329.57096367373424,222.42903632626576,0.008972391971425754,0.05883147464103955
14,-0.9843177835258846,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,199.2,381.9388150869256,182.73881508692563,0.015682216474115353,0.015682216474115353
