episode,reward,win,loss,steps,right_score,left_score,score_diff,frames,rally_hits,decision_count,truncated,truncation_reason,last_right_hit_offset,last_right_speed_multiplier,last_right_outgoing_speed,final_ball_speed,last_left_outgoing_speed,successful_agent_returns,last_selected_target_y,last_predicted_return_y,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward
0,-0.9974803142879612,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,48.0,341.344845325218,293.344845325218,0.002519685712038703,0.002519685712038703
1,-0.999977702886201,0,1,1,0,1,-1,351,1,1,False,,0.07451506902893072,1.0,6.7169010477996,7.211102550927978,7.211102550927978,0,48.0,519.3822715830053,471.38227158300526,2.2297113799019802e-05,2.2297113799019802e-05
2,-0.9994979323367061,0,1,1,0,1,-1,368,1,1,False,,0.8840082370854958,2.0,12.36931687685298,9.895453501482388,9.895453501482386,0,48.0,412.01929828962466,364.01929828962466,0.0005020676632938749,0.0005020676632938749
3,1.073639082265384,1,0,2,1,0,1,463,2,2,False,,0.77002004447464,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,48.0,301.69896966007946,253.69896966007946,0.005350504260444892,0.05363908226538399
4,-0.8862116644301092,0,1,2,0,1,-1,588,2,2,False,,-0.49770752950299124,1.5,10.816653826391967,8.653323061113573,8.653323061113573,1,48.0,106.4622445594971,58.462244559497094,0.04440482845045587,0.09378833556989066
5,-0.9872908777314693,0,1,1,0,1,-1,303,1,1,False,,0.2136523721438209,1.5,9.776801528430854,7.821441222744683,7.821441222744683,0,48.0,246.61381082726348,198.61381082726348,0.01270912226853077,0.01270912226853077
6,-0.9970769194569753,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,48.0,333.9620376642904,285.9620376642904,0.002923080543024724,0.002923080543024724
7,-0.9836973801253364,0,1,1,0,1,-1,291,1,1,False,,0.23604031567184194,1.5,10.37547923304157,8.300383386433257,8.300383386433257,0,48.0,227.65544478887432,179.65544478887432,0.016302619874663672,0.016302619874663672
8,1.000002328844039,1,0,1,1,0,1,201,1,1,False,,0.85,2.0,12.36931687685298,12.36931687685298,7.211102550927978,0,48.0,583.9691225290553,535.9691225290553,2.3288440389228813e-06,2.3288440389228813e-06
9,-0.9990898467074883,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,48.0,387.6727234830098,339.6727234830098,0.0009101532925116287,0.0009101532925116287
10,-0.961744516068451,0,1,1,0,1,-1,305,1,1,False,,-0.20711712382673114,1.5,9.630395474914684,7.704316379931747,7.704316379931747,0,48.0,135.81115668623988,87.81115668623988,0.038255483931548984,0.038255483931548984
11,-0.9302135974314117,0,1,2,0,1,-1,565,2,2,False,,0.255304199899836,1.5,10.816653826391967,8.653323061113573,8.653323061113573,1,48.0,566.5918584830795,518.5918584830795,4.400288473374228e-06,0.049786402568588246
12,1.1165640420781184,1,0,2,1,0,1,455,2,2,False,,-0.85,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,48.0,17.969122529054857,30.030877470945143,0.04845854277497466,0.09656404207811853
13,1.1007458058943278,1,0,2,1,0,1,509,2,2,False,,1.0,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,48.0,154.86475499370727,106.86475499370727,0.03363249099488972,0.08074580589432775
14,-0.9989592206543971,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,48.0,381.9388150869256,333.9388150869256,0.001040779345602859,0.001040779345602859
15,-0.9917005368550834,0,1,1,0,1,-1,301,1,1,False,,0.21751584090568626,1.5,9.869660560704574,7.89572844856366,7.895728448563659,0,48.0,275.4202423108436,227.4202423108436,0.008299463144916561,0.008299463144916561
