episode,reward,win,loss,steps,right_score,left_score,score_diff,frames,rally_hits,decision_count,truncated,truncation_reason,last_right_hit_offset,last_right_speed_multiplier,last_right_outgoing_speed,final_ball_speed,last_left_outgoing_speed,successful_agent_returns,last_selected_target_y,last_predicted_return_y,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward
0,-0.8171813962722485,0,1,3,0,1,-1,803,3,3,False,,-0.05173085645111471,1.0,8.653323061113575,7.211102550927978,7.211102550927978,2,98.4,32.311726768630024,66.08827323136998,0.042964240319262104,0.14281860372775151
1,1.2539114115873042,1,0,4,1,0,1,1029,4,4,False,,-0.9859003602882888,2.0,12.97998459167036,12.97998459167036,10.38398767333629,3,350.4,383.1680132408105,32.76801324081055,0.048170185572083406,0.19391141158730435
2,-0.9676595962330953,0,1,1,0,1,-1,368,1,1,False,,0.8840082370854958,2.0,12.36931687685298,9.895453501482388,9.895453501482386,0,300.0,412.01929828962466,112.01929828962466,0.032340403766904675,0.032340403766904675
3,-0.8902695484705245,0,1,2,0,1,-1,584,2,2,False,,-0.4899799555253601,1.5,10.816653826391967,8.653323061113573,8.653323061113573,1,98.4,177.04987564290116,78.64987564290115,0.04033575035014053,0.08973045152947554
4,-0.9576800967020707,0,1,1,0,1,-1,365,1,1,False,,-0.1125,1.0,6.18465843842649,7.211102550927978,7.211102550927978,0,98.4,29.097428016291843,69.30257198370816,0.04231990329792932,0.04231990329792932
5,-0.8413281374984111,0,1,3,0,1,-1,760,3,3,False,,-0.34933611381556273,1.5,10.816653826391967,8.653323061113573,8.653323061113573,2,350.4,517.4549719057121,167.05497190571214,0.018973007734470748,0.11867186250158893
6,-0.8839774793709448,0,1,2,0,1,-1,581,2,2,False,,-0.41152348556067436,1.5,10.816653826391967,8.653323061113573,8.653323061113573,1,501.6,547.3884246998532,45.78842469985318,0.04648943555607589,0.09602252062905514
7,1.115738940931095,1,0,2,1,0,1,381,2,2,False,,-0.5892790883267551,1.5,12.450575079649886,12.450575079649886,8.300383386433257,1,98.4,53.14596965358169,45.25403034641832,0.04656803771785799,0.0957389409310951
8,1.0395056659944737,1,0,1,1,0,1,201,1,1,False,,0.85,2.0,12.36931687685298,12.36931687685298,7.211102550927978,0,501.6,583.9691225290553,82.36912252905529,0.03950566599447377,0.03950566599447377
9,1.1082048128521804,1,0,2,1,0,1,491,2,2,False,,0.9157002213829258,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,350.4,428.0305939020809,77.63059390208093,0.04055946694848054,0.08820481285218029
