policy,episodes,mean_reward,win_rate,loss_rate,mean_score_diff,mean_steps,mean_rally_hits,truncation_rate,mean_final_hit_offset,mean_final_speed_multiplier,mean_final_outgoing_speed,mean_final_ball_speed,mean_last_left_outgoing_speed,mean_successful_agent_returns,mean_final_target_alignment_error,mean_final_target_alignment_reward,mean_cumulative_target_alignment_reward,timesteps
ppo_eval,100,-0.371694539821673,0.28,0.72,-0.44,1.53,1.53,0.0,-0.0518612106939949,1.485,9.9136361682297,9.391714668532192,7.979268988700237,0.53,112.47841317221334,0.0320016205826424,0.0577054601783268,10000
ppo_eval,100,-0.1093689460141634,0.4,0.6,-0.2,1.75,1.75,0.0,0.1255957340683755,1.535,10.277626316413244,9.902469690575836,8.080962290245186,0.75,80.00712563663886,0.0392271048597521,0.0756310539858365,20000
ppo_eval,100,0.1434292939129372,0.51,0.49,0.02,2.16,2.16,0.0,-0.0553425408126586,1.655,11.084829845407064,10.591057510132272,8.18521034288448,1.16,57.5907429738096,0.0436995040955053,0.1002292939129372,30000
ppo_eval,100,0.2902920187291724,0.58,0.42,0.16,2.25,2.25,0.0,-0.0942677336471837,1.695,11.391566170721386,10.930793176649486,8.317936820203967,1.25,53.16434648453151,0.0445619201073299,0.1052920187291723,40000
ppo_eval,100,0.3334707547470472,0.6,0.4,0.2,2.29,2.29,0.0,-0.0709311649175983,1.715,11.506704718439591,11.035209941586922,8.370433646774721,1.29,50.9518439508497,0.0449610801155727,0.1076707547470471,50000
ppo_eval,100,0.4619034853139298,0.66,0.34,0.32,2.41,2.41,0.0,-0.0535203052004908,1.765,11.731635484721568,11.35659484476781,8.418111959890664,1.41,49.471764983958735,0.0451556094451693,0.1137034853139297,60000
ppo_eval,100,0.7185491857889922,0.78,0.22,0.56,2.63,2.63,0.0,0.0494413935425767,1.855,12.239197406544514,11.966077524890524,8.484677339013922,1.63,39.13686134618617,0.0467161145901322,0.1259491857889921,70000
ppo_eval,100,0.8510017791973626,0.83,0.17,0.66,3.09,3.09,0.0,0.0339596753784179,1.875,12.411652929986642,12.207101538658312,8.630981666906745,2.09,36.16399140862165,0.047091748175753,0.1492017791973627,80000
ppo_eval,100,0.8053478135029508,0.81,0.19,0.62,3.0,3.0,0.0,0.0930410375395746,1.865,12.377265955840526,12.127672020974735,8.6139304131913,2.0,32.464853351534245,0.0475898292456692,0.1453478135029508,90000
ppo_eval,100,0.8107736520989423,0.81,0.19,0.62,3.08,3.08,0.0,0.0882696175916863,1.86,12.377265955840526,12.127672020974735,8.63141210544981,2.08,33.9175917128128,0.0474717490605969,0.1491736520989423,100000
ppo_eval,100,0.813002440516752,0.81,0.19,0.62,3.11,3.11,0.0,0.0767467834116104,1.855,12.3856929608033,12.134413624944957,8.65874663863042,2.11,33.12346651244531,0.0475783795745924,0.1508024405167519,110000
ppo_eval,100,0.7759369829933391,0.79,0.21,0.58,3.15,3.15,0.0,0.0710937073749264,1.85,12.377265955840526,12.075752082608057,8.708447630799725,2.15,32.24057644713031,0.0476521612241528,0.152936982993339,120000
ppo_eval,100,0.7972377921073955,0.8,0.2,0.6,3.17,3.17,0.0,0.1564369419253493,1.85,12.3195771354331,12.069983200567313,8.659228589471532,2.17,32.80854573014008,0.047621837878842,0.1538377921073954,130000
