episode,reward,win,loss,steps,right_score,left_score,score_diff,rally_hits,successful_agent_returns,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward,truncated
1,1.1157142704589798,1,0,2,1,0,1,2,1,24.891817367059275,0.04893578983497128,0.09571427045897962,False
2,1.4657680562435806,1,0,7,1,0,1,7,6,28.83203616186313,0.04857742406008818,0.34576805624358065,False
3,1.1756342187663504,1,0,3,1,0,1,3,2,82.78437712929727,0.039411704016978175,0.13563421876635057,False
4,1.0499857531558132,1,0,1,1,0,1,1,0,2.8648475693602506,0.0499857531558133,0.0499857531558133,False
5,1.3828369463679406,1,0,6,1,0,1,6,5,82.78437712929727,0.039411704016978175,0.2828369463679407,False
6,1.1184052233166337,1,0,2,1,0,1,2,1,10.671032740427194,0.04980269770535023,0.09840522331663357,False
7,1.3964986248922633,1,0,6,1,0,1,6,5,5.461873604054404,0.0499482350381172,0.29649862489226314,False
8,1.1156909981633438,1,0,2,1,0,1,2,1,39.398994168147624,0.047376407303295,0.09569099816334378,False
9,1.3244093358509765,1,0,5,1,0,1,5,4,48.914078377299006,0.04601406293396549,0.24440933585097635,False
10,1.1860177722133498,1,0,3,1,0,1,3,2,33.535448695183646,0.04808515398245352,0.14601777221334977,False
11,1.2585678239510922,1,0,4,1,0,1,4,3,0.09903021490080732,0.04999998297398994,0.19856782395109238,False
12,1.1167626637741719,1,0,2,1,0,1,2,1,24.520483630337907,0.048966976716637,0.09676266377417193,False
13,1.0499676399670965,1,0,1,1,0,1,1,0,4.3180334951574935,0.04996763996709655,0.04996763996709655,False
14,1.116762920901465,1,0,2,1,0,1,2,1,23.16940609811644,0.04907665061888216,0.0967629209014648,False
15,1.3227405431426205,1,0,5,1,0,1,5,4,42.02958991094593,0.04702534309248395,0.2427405431426206,False
16,1.184913233694595,1,0,3,1,0,1,3,2,17.63198675918943,0.04946316837678636,0.1449132336945949,False
17,1.118261845122169,1,0,2,1,0,1,2,1,2.6427792537610912,0.04998787598025324,0.09826184512216912,False
18,1.117776684058305,1,0,2,1,0,1,2,1,7.269653143746467,0.04990833437726081,0.09777668405830496,False
